dependents,education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
4, Not Graduate, Yes,2000000,4000000,10,636, Approved
1, Not Graduate, Yes,5000000,16800000,6,711, Approved
1, Graduate, Yes,3200000,11800000,16,848, Approved
1, Not Graduate, Yes,8000000,27800000,8,804, Approved
0, Not Graduate, Yes,1200000,2800000,14,892, Approved
2, Not Graduate, Yes,5800000,22800000,14,696, Approved
1, Graduate, No,2500000,7600000,20,888, Approved
1, Not Graduate, Yes,600000,1400000,10,699, Approved
5, Graduate, No,4900000,13000000,10,865, Approved
2, Graduate, Yes,9400000,37300000,14,383, Rejected
2, Graduate, No,5300000,19300000,16,368, Rejected
5, Not Graduate, No,5100000,15800000,4,607, Approved
4, Not Graduate, Yes,2900000,8900000,18,827, Approved
1, Graduate, No,9100000,34000000,12,672, Approved
3, Not Graduate, Yes,8800000,26700000,12,708, Approved
4, Not Graduate, No,2600000,8800000,10,682, Approved
1, Graduate, Yes,9700000,25500000,18,741, Approved
5, Not Graduate, Yes,600000,1200000,8,343, Rejected
0, Graduate, Yes,4100000,11100000,16,785, Approved
1, Not Graduate, Yes,8000000,28000000,20,830, Approved
2, Graduate, No,8800000,26700000,16,696, Approved
1, Graduate, No,200000,300000,12,697, Approved
0, Graduate, Yes,3800000,11700000,2,351, Approved
3, Graduate, No,6800000,21800000,10,556, Approved
0, Graduate, No,8600000,31800000,2,895, Approved
2, Graduate, Yes,2800000,8400000,10,534, Rejected
0, Graduate, No,8000000,29800000,12,736, Approved
2, Graduate, Yes,2300000,5500000,16,629, Approved
4, Graduate, Yes,7600000,16200000,20,657, Approved
2, Graduate, No,2900000,11300000,12,839, Approved
4, Not Graduate, No,7900000,25700000,18,589, Approved
2, Not Graduate, No,1900000,4500000,6,805, Approved
3, Not Graduate, Yes,4600000,13600000,20,729, Approved
1, Not Graduate, No,2600000,7700000,6,399, Rejected
2, Not Graduate, No,2700000,6700000,8,413, Rejected
5, Graduate, Yes,6300000,13200000,16,321, Rejected
0, Graduate, Yes,2600000,7500000,2,853, Approved
