dependents,education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
3, Graduate, Yes,9500000,25700000,18,446, Rejected
3, Not Graduate, Yes,1800000,6400000,20,436, Rejected
3, Not Graduate, Yes,5800000,14100000,12,738, Approved
3, Graduate, No,2800000,9400000,10,519, Rejected
3, Graduate, Yes,4000000,8300000,8,531, Rejected
1, Not Graduate, No,1000000,3400000,18,578, Approved
0, Graduate, No,9100000,21100000,20,578, Approved
0, Graduate, No,4600000,18100000,14,442, Rejected
2, Not Graduate, No,7800000,16900000,6,751, Approved
4, Graduate, Yes,6600000,18800000,10,353, Rejected
5, Not Graduate, No,9800000,26600000,12,664, Approved
1, Graduate, No,7400000,26600000,18,505, Rejected
3, Graduate, Yes,4300000,16600000,10,571, Approved
2, Not Graduate, Yes,9800000,34600000,16,754, Approved
5, Not Graduate, No,1100000,3900000,20,858, Approved
3, Graduate, Yes,8600000,21800000,20,641, Approved
0, Not Graduate, Yes,9400000,35500000,16,592, Approved
3, Graduate, Yes,5300000,20300000,14,432, Rejected
1, Not Graduate, Yes,8700000,33800000,18,558, Approved
3, Graduate, Yes,4800000,14200000,12,547, Rejected
4, Not Graduate, No,4400000,9800000,18,732, Approved
1, Graduate, Yes,5400000,19300000,12,784, Approved
5, Not Graduate, Yes,8400000,31900000,10,605, Approved
1, Graduate, Yes,5400000,19500000,18,688, Approved
3, Not Graduate, Yes,9400000,32100000,10,617, Approved
0, Not Graduate, Yes,800000,2400000,4,518, Approved
0, Not Graduate, No,3800000,14800000,10,390, Rejected
4, Graduate, No,3100000,6300000,4,370, Rejected
3, Not Graduate, Yes,6000000,21300000,4,802, Approved
2, Not Graduate, Yes,6800000,15500000,12,338, Rejected
5, Not Graduate, No,5200000,11700000,6,658, Approved
0, Not Graduate, No,1900000,6700000,12,595, Approved
5, Graduate, Yes,3600000,8500000,20,594, Approved
3, Graduate, Yes,1500000,4100000,14,611, Approved
3, Not Graduate, No,2000000,5800000,8,799, Approved
5, Graduate, No,9200000,18600000,20,497, Rejected
0, Not Graduate, Yes,6100000,15900000,18,456, Rejected
5, Not Graduate, No,300000,500000,8,396, Rejected
1, Graduate, No,800000,2300000,10,770, Approved
0, Not Graduate, No,3300000,9000000,16,797, Approved
1, Not Graduate, No,5800000,18700000,20,586, Approved
5, Not Graduate, No,8500000,23400000,16,604, Approved
0, Not Graduate, Yes,4100000,12800000,8,799, Approved
2, Graduate, No,7800000,26400000,4,763, Approved
0, Graduate, No,7500000,23000000,14,725, Approved
2, Graduate, No,2300000,8800000,18,336, Rejected
4, Graduate, Yes,600000,2300000,6,495, Rejected
1, Not Graduate, No,2900000,11500000,20,431, Rejected
5, Not Graduate, No,900000,2200000,2,415, Rejected
5, Graduate, Yes,9000000,20400000,6,451, Rejected
1, Not Graduate, No,4800000,14300000,4,489, Rejected
1, Graduate, No,1600000,4600000,12,415, Rejected
3, Not Graduate, No,2600000,8100000,12,425, Rejected
4, Graduate, Yes,1800000,4600000,14,453, Rejected
5, Graduate, Yes,4400000,11800000,20,634, Approved
2, Not Graduate, No,200000,300000,20,519, Rejected
4, Not Graduate, Yes,800000,2100000,6,353, Rejected
3, Graduate, No,1500000,3200000,4,767, Approved
0, Not Graduate, Yes,7700000,16900000,14,473, Rejected
5, Graduate, Yes,7200000,21300000,2,801, Approved
4, Graduate, No,1000000,2300000,16,543, Rejected
1, Graduate, No,6300000,17200000,12,714, Approved
3, Graduate, No,1900000,4100000,12,830, Approved
5, Graduate, No,4400000,15300000,4,401, Approved
0, Not Graduate, No,9100000,26400000,6,518, Rejected
2, Graduate, Yes,900000,2300000,20,367, Rejected
0, Graduate, Yes,4600000,12000000,12,493, Rejected
2, Graduate, Yes,9400000,22700000,14,505, Rejected
5, Graduate, No,6900000,26500000,16,322, Rejected
2, Graduate, No,300000,900000,8,735, Approved
5, Graduate, Yes,1900000,6700000,2,622, Approved
4, Graduate, Yes,4400000,16400000,6,513, Rejected
4, Not Graduate, Yes,1200000,4100000,16,585, Approved
1, Graduate, Yes,1000000,3000000,10,813, Approved
0, Graduate, No,3100000,10400000,18,622, Approved
1, Graduate, Yes,2100000,6300000,16,899, Approved
0, Not Graduate, No,2100000,4700000,2,459, Rejected
4, Graduate, No,9400000,33300000,18,369, Rejected
2, Not Graduate, No,9700000,37700000,6,601, Approved
4, Graduate, No,1400000,2700000,18,703, Approved
2, Not Graduate, No,4700000,14600000,20,597, Approved
