dependents,education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
3, Not Graduate, Yes,7000000,15400000,20,315, Rejected
4, Not Graduate, No,3900000,8800000,14,527, Rejected
3, Graduate, No,5500000,19800000,14,853, Approved
0, Graduate, No,6600000,13700000,20,747, Approved
2, Not Graduate, No,9900000,31600000,16,892, Approved
4, Graduate, Yes,6600000,20500000,8,856, Approved
3, Graduate, No,8600000,23600000,4,324, Rejected
5, Graduate, No,7900000,28600000,12,812, Approved
5, Graduate, Yes,6800000,22600000,2,804, Approved
4, Graduate, No,700000,1800000,8,874, Approved
2, Not Graduate, Yes,3800000,10000000,12,516, Rejected
5, Graduate, Yes,6900000,18300000,4,402, Rejected
1, Graduate, Yes,3700000,12400000,12,330, Rejected
1, Graduate, No,7900000,24000000,12,867, Approved
4, Graduate, Yes,8800000,34200000,16,844, Approved
5, Not Graduate, Yes,3300000,7800000,8,310, Rejected
4, Not Graduate, No,5800000,14200000,20,535, Rejected
1, Graduate, Yes,7400000,29500000,16,323, Rejected
1, Graduate, No,8200000,25600000,4,686, Approved
0, Not Graduate, Yes,3300000,9600000,8,465, Rejected
4, Graduate, Yes,5300000,10700000,12,547, Rejected
1, Not Graduate, No,5700000,19100000,12,649, Approved
2, Not Graduate, No,9000000,31000000,14,670, Approved
3, Graduate, No,5900000,14400000,10,408, Rejected
2, Not Graduate, No,5400000,11900000,6,303, Rejected
0, Graduate, No,9800000,34800000,14,497, Rejected
4, Graduate, Yes,9800000,34100000,14,740, Approved
4, Not Graduate, Yes,3800000,8200000,4,309, Rejected
0, Not Graduate, No,9500000,24400000,14,769, Approved
3, Graduate, Yes,2500000,7100000,6,420, Rejected
1, Graduate, No,1900000,6000000,20,540, Rejected
5, Graduate, Yes,4400000,10600000,20,806, Approved
4, Graduate, Yes,1400000,2900000,6,723, Approved
5, Not Graduate, Yes,3200000,11800000,16,565, Approved
1, Graduate, Yes,3100000,9200000,16,374, Rejected
4, Graduate, No,4500000,9900000,10,509, Rejected
3, Not Graduate, Yes,9300000,23500000,16,728, Approved
2, Graduate, No,6900000,18200000,20,396, Rejected
0, Not Graduate, Yes,3900000,8600000,2,667, Approved
5, Not Graduate, No,3200000,7400000,12,583, Approved
1, Not Graduate, Yes,5600000,21100000,10,459, Rejected
4, Not Graduate, Yes,3700000,11900000,18,635, Approved
3, Not Graduate, No,8400000,27200000,12,604, Approved
0, Not Graduate, Yes,4200000,8900000,14,796, Approved
4, Graduate, No,3800000,8500000,10,416, Rejected
3, Graduate, No,3200000,8200000,8,311, Rejected
1, Graduate, No,9700000,33900000,10,833, Approved
1, Not Graduate, Yes,4300000,9400000,6,543, Rejected
5, Graduate, Yes,8100000,20300000,18,751, Approved
5, Not Graduate, Yes,9400000,23200000,14,885, Approved
4, Not Graduate, Yes,8100000,19400000,6,346, Rejected
4, Graduate, No,6500000,14500000,4,588, Approved
2, Graduate, No,9400000,23100000,4,488, Rejected
1, Not Graduate, Yes,2600000,6600000,20,765, Approved
3, Not Graduate, Yes,8000000,25600000,6,337, Rejected
1, Graduate, No,4700000,9300000,8,515, Rejected
2, Graduate, Yes,7600000,22300000,12,555, Approved
1, Graduate, Yes,6800000,27200000,2,702, Approved
2, Not Graduate, Yes,6600000,17000000,2,457, Rejected
2, Graduate, No,8200000,27200000,10,425, Rejected
1, Graduate, Yes,4400000,12300000,6,583, Approved
1, Not Graduate, No,8300000,29200000,6,877, Approved
0, Graduate, No,9200000,36500000,14,522, Rejected
5, Not Graduate, Yes,2700000,8700000,20,687, Approved
0, Graduate, No,6100000,23600000,20,856, Approved
4, Not Graduate, Yes,9100000,33000000,8,543, Rejected
5, Not Graduate, Yes,7600000,15400000,14,576, Approved
2, Not Graduate, No,7200000,17000000,10,856, Approved
0, Graduate, Yes,2600000,8200000,8,722, Approved
4, Graduate, Yes,6500000,20200000,12,653, Approved
5, Graduate, No,8900000,35500000,16,480, Rejected
2, Graduate, Yes,5400000,14300000,14,477, Rejected
0, Graduate, No,300000,500000,2,885, Approved
0, Not Graduate, No,8400000,19600000,18,530, Rejected
3, Graduate, No,8300000,17200000,8,870, Approved
4, Not Graduate, No,1700000,5600000,8,395, Rejected
2, Not Graduate, No,1500000,4200000,16,771, Approved
1, Not Graduate, Yes,200000,500000,2,579, Approved
1, Graduate, Yes,1000000,3700000,14,798, Approved
3, Not Graduate, Yes,8800000,25100000,8,473, Rejected
0, Graduate, Yes,1000000,3200000,8,304, Rejected
0, Not Graduate, Yes,8600000,23000000,14,678, Approved
5, Graduate, Yes,2400000,8900000,2,745, Approved
1, Graduate, No,2400000,8900000,8,835, Approved
5, Not Graduate, Yes,6000000,12100000,20,848, Approved
5, Not Graduate, No,7600000,16300000,18,872, Approved
3, Not Graduate, No,8000000,20100000,10,608, Approved
0, Graduate, Yes,5400000,19500000,16,758, Approved
0, Not Graduate, Yes,1400000,3700000,4,841, Approved
0, Not Graduate, Yes,800000,2600000,2,618, Approved
4, Graduate, Yes,300000,1100000,4,457, Approved
0, Graduate, No,4100000,14400000,4,844, Approved
2, Not Graduate, No,1500000,3800000,4,776, Approved
1, Not Graduate, No,4600000,13900000,8,520, Rejected
1, Graduate, Yes,3300000,7500000,12,648, Approved
4, Not Graduate, Yes,7900000,31400000,10,654, Approved
0, Not Graduate, No,8100000,26500000,20,342, Rejected
5, Not Graduate, No,900000,2800000,16,808, Approved
1, Graduate, Yes,4900000,15200000,10,429, Rejected
3, Graduate, Yes,6100000,18100000,14,538, Rejected
3, Not Graduate, No,4500000,16400000,6,533, Rejected
2, Graduate, Yes,2900000,7300000,8,394, Rejected
1, Not Graduate, No,7900000,29300000,2,771, Approved
5, Graduate, Yes,4100000,10100000,4,792, Approved
5, Not Graduate, Yes,7700000,15500000,8,407, Rejected
0, Not Graduate, No,5600000,19300000,18,544, Rejected
5, Graduate, No,9000000,18000000,18,509, Rejected
4, Not Graduate, Yes,6400000,18400000,16,320, Rejected
4, Graduate, No,6900000,14700000,2,496, Rejected
3, Not Graduate, No,9100000,27400000,18,652, Approved
2, Graduate, Yes,1100000,3700000,2,806, Approved
4, Not Graduate, No,1700000,4500000,12,821, Approved
5, Graduate, Yes,9200000,28800000,20,618, Approved
2, Not Graduate, Yes,8300000,20600000,12,729, Approved
5, Not Graduate, Yes,5000000,10600000,6,839, Approved
3, Graduate, No,2200000,6400000,2,318, Rejected
