dependents,education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
1, Not Graduate, Yes,9900000,25700000,2,340, Rejected
2, Graduate, No,5100000,11000000,14,322, Rejected
4, Graduate, Yes,3500000,10700000,8,883, Approved
3, Graduate, Yes,4300000,12800000,16,346, Rejected
0, Graduate, Yes,5300000,20200000,2,861, Approved
5, Graduate, Yes,6400000,21900000,12,699, Approved
0, Graduate, No,9300000,27200000,8,629, Approved
3, Graduate, No,1100000,3100000,14,359, Rejected
2, Not Graduate, No,7100000,27000000,10,430, Rejected
4, Not Graduate, No,1100000,3300000,18,417, Rejected
2, Graduate, No,1900000,5200000,6,896, Approved
0, Not Graduate, No,1300000,3900000,16,690, Approved
5, Graduate, No,7500000,22800000,16,347, Rejected
4, Not Graduate, No,2400000,7000000,4,539, Rejected
4, Graduate, Yes,2500000,8000000,8,464, Rejected
4, Graduate, No,7500000,16200000,4,310, Rejected
3, Not Graduate, No,9300000,36600000,6,431, Rejected
5, Not Graduate, No,3300000,10000000,12,489, Rejected
4, Not Graduate, Yes,5700000,13900000,12,775, Approved
4, Not Graduate, No,300000,600000,6,365, Rejected
2, Not Graduate, Yes,1200000,4500000,10,555, Approved
4, Graduate, Yes,8200000,29600000,10,457, Rejected
3, Not Graduate, No,5500000,12400000,8,580, Approved
4, Not Graduate, No,1800000,7200000,20,496, Rejected
0, Not Graduate, No,3500000,11400000,16,837, Approved
4, Not Graduate, Yes,6000000,13200000,6,455, Rejected
0, Graduate, Yes,2700000,9700000,20,551, Approved
4, Not Graduate, Yes,5900000,20700000,10,825, Approved
1, Not Graduate, Yes,2100000,4200000,18,554, Approved
0, Not Graduate, Yes,2000000,5200000,18,400, Rejected
5, Not Graduate, No,9000000,34300000,10,853, Approved
1, Not Graduate, Yes,7600000,18800000,14,403, Rejected
3, Graduate, No,500000,1500000,6,392, Rejected
1, Graduate, No,6300000,19000000,20,673, Approved
0, Graduate, Yes,3100000,7100000,10,498, Rejected
1, Not Graduate, No,1100000,2600000,6,858, Approved
4, Graduate, Yes,3900000,14300000,20,477, Rejected
4, Not Graduate, Yes,8700000,28200000,12,548, Rejected
4, Not Graduate, Yes,6400000,23900000,6,300, Rejected
2, Graduate, Yes,200000,800000,12,483, Rejected
1, Graduate, No,2400000,5800000,20,384, Rejected
3, Not Graduate, No,8900000,35200000,10,894, Approved
3, Not Graduate, No,6100000,14800000,10,492, Rejected
5, Not Graduate, Yes,7600000,25700000,4,607, Approved
3, Not Graduate, No,900000,2400000,16,701, Approved
2, Not Graduate, Yes,7100000,19700000,20,890, Approved
2, Not Graduate, Yes,5000000,14600000,10,808, Approved
4, Graduate, Yes,2000000,7400000,20,596, Approved
4, Graduate, Yes,2600000,6200000,14,421, Rejected
2, Graduate, Yes,7000000,14900000,20,495, Rejected
3, Graduate, No,3900000,9800000,6,604, Approved
3, Graduate, No,8400000,32600000,4,509, Approved
0, Graduate, Yes,200000,600000,8,852, Approved
2, Not Graduate, Yes,1900000,6700000,16,893, Approved
2, Not Graduate, Yes,9200000,33000000,14,874, Approved
3, Not Graduate, Yes,300000,500000,6,386, Rejected
5, Graduate, No,6300000,18100000,4,590, Approved
2, Not Graduate, No,6100000,23500000,14,510, Rejected
