dependents,education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
2, Graduate, No,3400000,12900000,14,857, Approved
2, Not Graduate, No,7700000,18300000,20,504, Rejected
0, Graduate, No,500000,1200000,14,556, Approved
2, Graduate, Yes,5300000,11000000,14,393, Rejected
0, Graduate, No,4700000,14400000,14,881, Approved
2, Graduate, Yes,4300000,12200000,14,719, Approved
2, Graduate, Yes,900000,2500000,16,458, Rejected
4, Graduate, No,2000000,7500000,14,857, Approved
2, Graduate, Yes,2000000,7600000,16,429, Rejected
3, Not Graduate, No,4100000,15900000,12,538, Rejected
1, Not Graduate, No,6900000,14400000,10,828, Approved
5, Graduate, Yes,2300000,6100000,6,339, Rejected
5, Graduate, Yes,5800000,16600000,18,376, Rejected
5, Not Graduate, No,8000000,30000000,14,549, Rejected
3, Not Graduate, Yes,3700000,12700000,18,587, Approved
0, Not Graduate, No,2600000,8400000,18,861, Approved
0, Not Graduate, No,3000000,7000000,12,409, Rejected
4, Graduate, No,2700000,10200000,4,528, Approved
4, Not Graduate, No,5700000,19600000,8,691, Approved
2, Graduate, No,1500000,3600000,4,584, Approved
5, Not Graduate, No,6800000,20000000,4,459, Rejected
1, Graduate, Yes,8100000,31700000,10,755, Approved
3, Not Graduate, Yes,9200000,27700000,20,688, Approved
1, Not Graduate, Yes,7600000,26000000,6,384, Rejected
4, Graduate, No,600000,1600000,20,869, Approved
1, Not Graduate, Yes,4700000,18700000,20,445, Rejected
0, Graduate, No,1400000,5500000,6,393, Rejected
3, Graduate, Yes,9400000,24600000,10,414, Rejected
2, Graduate, No,9700000,19900000,16,395, Rejected
3, Not Graduate, Yes,8900000,21000000,14,815, Approved
5, Graduate, No,4600000,10500000,8,758, Approved
5, Not Graduate, Yes,5600000,14500000,10,457, Rejected
0, Graduate, Yes,1000000,3200000,10,854, Approved
3, Graduate, No,3500000,10300000,16,324, Rejected
0, Not Graduate, No,7900000,31500000,14,849, Approved
3, Graduate, Yes,6100000,24200000,12,672, Approved
3, Not Graduate, Yes,8900000,20900000,6,859, Approved
4, Graduate, No,5300000,15400000,8,584, Approved
5, Not Graduate, No,1300000,4800000,4,346, Approved
3, Graduate, No,4000000,12800000,18,635, Approved
2, Not Graduate, No,8700000,22700000,4,365, Rejected
1, Not Graduate, No,9500000,20000000,16,856, Approved
5, Graduate, Yes,9000000,20000000,2,440, Rejected
0, Graduate, Yes,7300000,23300000,2,616, Approved
3, Graduate, Yes,7400000,25700000,2,461, Approved
5, Not Graduate, No,3100000,10800000,10,681, Approved
2, Graduate, No,4300000,9400000,2,485, Rejected
1, Graduate, Yes,2400000,8300000,6,684, Approved
1, Graduate, No,5400000,17900000,14,727, Approved
2, Not Graduate, No,1600000,5100000,6,784, Approved
3, Not Graduate, Yes,9900000,20400000,4,865, Approved
3, Not Graduate, No,5800000,20100000,18,791, Approved
4, Not Graduate, No,2200000,8500000,16,866, Approved
0, Graduate, No,5000000,14400000,2,761, Approved
2, Not Graduate, Yes,600000,2100000,18,572, Approved
4, Graduate, No,2200000,8600000,6,601, Approved
1, Graduate, Yes,2600000,5500000,14,820, Approved
4, Not Graduate, No,1200000,4300000,8,598, Approved
2, Graduate, No,3100000,8700000,18,544, Rejected
5, Not Graduate, Yes,4600000,14500000,14,561, Approved
4, Graduate, Yes,9300000,35500000,6,547, Rejected
4, Graduate, No,6300000,13400000,2,504, Rejected
2, Not Graduate, No,5900000,20800000,14,530, Rejected
2, Graduate, Yes,2900000,10600000,6,614, Approved
4, Not Graduate, No,6100000,22400000,18,351, Rejected
4, Graduate, Yes,5900000,19700000,10,431, Rejected
1, Not Graduate, Yes,4600000,18400000,10,403, Rejected
2, Not Graduate, No,7000000,20200000,8,668, Approved
3, Not Graduate, Yes,5100000,10400000,18,399, Rejected
1, Graduate, No,3100000,10600000,14,665, Approved
2, Graduate, No,4100000,12800000,16,344, Rejected
0, Graduate, No,1800000,5400000,16,555, Approved
4, Not Graduate, Yes,8200000,26900000,20,301, Rejected
2, Not Graduate, Yes,800000,2100000,6,726, Approved
2, Graduate, No,8400000,23100000,6,689, Approved
0, Not Graduate, No,8500000,33900000,4,665, Approved
3, Not Graduate, Yes,3300000,12700000,16,608, Approved
3, Not Graduate, No,5800000,12800000,20,335, Rejected
3, Not Graduate, No,4400000,10500000,18,677, Approved
1, Not Graduate, No,2600000,8500000,2,491, Approved
2, Not Graduate, Yes,9600000,28100000,20,763, Approved
5, Not Graduate, Yes,5200000,18100000,8,809, Approved
5, Not Graduate, Yes,9700000,36400000,16,544, Rejected
1, Graduate, Yes,200000,800000,14,624, Approved
3, Graduate, No,6500000,16800000,10,388, Rejected
4, Graduate, Yes,7200000,23100000,14,644, Approved
0, Not Graduate, No,5200000,18400000,14,600, Approved
2, Not Graduate, No,6500000,14100000,2,709, Approved
5, Graduate, Yes,2300000,5600000,8,642, Approved
0, Not Graduate, Yes,3300000,10400000,4,423, Approved
0, Not Graduate, Yes,2000000,5900000,12,900, Approved
2, Graduate, Yes,8300000,19500000,4,415, Rejected
4, Graduate, Yes,3800000,14300000,4,645, Approved
0, Not Graduate, No,5700000,15600000,16,742, Approved
4, Not Graduate, No,7300000,19800000,8,724, Approved
1, Graduate, No,1600000,5400000,12,707, Approved
5, Not Graduate, Yes,800000,2500000,4,780, Approved
4, Not Graduate, No,6300000,21900000,10,538, Rejected
2, Graduate, No,8800000,17700000,14,706, Approved
0, Graduate, No,7300000,14500000,16,811, Approved
2, Graduate, Yes,3800000,9100000,14,849, Approved
3, Graduate, No,6200000,16700000,10,880, Approved
5, Not Graduate, Yes,3500000,9500000,4,664, Approved
5, Graduate, Yes,1400000,5000000,2,465, Approved
3, Not Graduate, Yes,3500000,12000000,2,786, Approved
1, Graduate, Yes,600000,2000000,10,326, Rejected
0, Not Graduate, No,4100000,10800000,16,399, Rejected
2, Not Graduate, Yes,5400000,11500000,6,841, Approved
2, Not Graduate, Yes,2000000,6700000,14,638, Approved
4, Graduate, Yes,3500000,8900000,4,478, Rejected
0, Graduate, Yes,8300000,30000000,4,600, Approved
0, Graduate, Yes,6700000,15600000,16,768, Approved
0, Not Graduate, No,1900000,6500000,10,523, Rejected
2, Graduate, Yes,6500000,20900000,14,327, Rejected
1, Graduate, Yes,600000,1800000,8,799, Approved
